j g(j) i g(i) wl A A^a A/A^a f
139 2.000 1 2.000 12.0889 2.802E+00 4.115E+12 6.809E-13 6.140E-14
94 2.000 1 2.000 12.1980 2.652E+00 1.854E+11 1.431E-11 5.915E-14
161 2.000 1 2.000 12.0644 2.646E+00 1.241E+11 2.132E-11 5.775E-14
237 2.000 1 2.000 11.9919 1.923E+00 8.037E+10 2.392E-11 4.145E-14
62 2.000 1 2.000 12.4140 1.627E+00 6.462E+11 2.517E-12 3.758E-14
57 2.000 1 2.000 12.4876 1.518E+00 7.510E+11 2.021E-12 3.548E-14
425 4.000 1 2.000 11.9446 7.659E-01 2.097E+09 3.652E-10 3.277E-14
344 2.000 1 2.000 11.9489 1.509E+00 6.359E+10 2.373E-11 3.231E-14
166 2.000 1 2.000 12.0620 1.319E+00 1.017E+11 1.297E-11 2.879E-14
308 2.000 1 2.000 11.9832 1.125E+00 1.773E+11 6.344E-12 2.422E-14
377 2.000 1 2.000 11.9468 8.665E-01 4.852E+10 1.786E-11 1.854E-14
248 2.000 1 2.000 11.9897 8.425E-01 6.320E+10 1.333E-11 1.817E-14
128 2.000 1 2.000 12.1169 8.015E-01 3.208E+11 2.499E-12 1.764E-14
190 6.000 1 2.000 12.0567 2.295E-01 1.367E+10 1.679E-11 1.501E-14
18 6.000 1 2.000 12.6810 1.863E-01 1.384E+13 1.347E-14 1.348E-14
439 2.000 1 2.000 11.9129 5.605E-01 1.254E+11 4.470E-12 1.193E-14
105 6.000 1 2.000 12.1892 1.620E-01 2.084E+10 7.775E-12 1.083E-14
470 2.000 1 2.000 11.8707 3.009E-01 9.419E+10 3.195E-12 6.360E-15
98 2.000 1 2.000 12.1917 2.686E-01 4.638E+11 5.792E-13 5.985E-15
180 2.000 1 2.000 12.0585 2.607E-01 2.170E+11 1.202E-12 5.685E-15
387 2.000 1 2.000 11.9455 6.250E-02 1.297E+11 4.818E-13 1.337E-15
323 2.000 1 2.000 11.9573 5.860E-02 1.559E+12 3.759E-14 1.257E-15
272 2.000 1 2.000 11.9882 4.727E-02 1.752E+11 2.697E-13 1.019E-15
99 6.000 1 2.000 12.1915 4.338E-03 2.134E+10 2.033E-13 2.901E-16
212 2.000 1 2.000 12.0056 4.987E-03 2.260E+12 2.207E-15 1.078E-16
309 6.000 1 2.000 11.9807 1.640E-03 1.126E+10 1.456E-13 1.059E-16
130 6.000 1 2.000 12.1109 1.102E-03 2.073E+10 5.318E-14 7.270E-17
441 6.000 1 2.000 11.9112 2.660E-04 6.770E+09 3.929E-14 1.698E-17
472 6.000 1 2.000 11.8697 8.108E-05 4.444E+09 1.825E-14 5.140E-18
423 6.000 1 2.000 11.9446 5.095E-05 1.348E+09 3.780E-14 3.270E-18
298 6.000 1 2.000 11.9863 3.692E-05 2.121E+09 1.740E-14 2.386E-18
