j g(j) i g(i) wl A A^a A/A^a f
240 3.000 1 1.000 21.0664 8.127E-03 2.678E+10 3.035E-13 1.622E-15
1074 3.000 1 1.000 20.7498 8.137E-03 2.829E+12 2.876E-15 1.576E-15
871 5.000 1 1.000 20.8123 4.306E-03 1.136E+11 3.792E-14 1.398E-15
686 3.000 1 1.000 20.8677 7.117E-03 5.973E+12 1.192E-15 1.394E-15
167 3.000 1 1.000 21.1626 6.590E-03 5.514E+10 1.195E-13 1.328E-15
473 3.000 1 1.000 20.9772 6.103E-03 1.531E+10 3.986E-13 1.208E-15
259 5.000 1 1.000 21.0615 3.454E-03 7.002E+08 4.933E-12 1.148E-15
164 3.000 1 1.000 21.1659 5.537E-03 1.522E+11 3.638E-14 1.115E-15
927 3.000 1 1.000 20.7823 5.630E-03 1.410E+12 3.992E-15 1.094E-15
461 3.000 1 1.000 20.9794 5.480E-03 3.699E+09 1.481E-12 1.085E-15
174 5.000 1 1.000 21.1610 3.216E-03 1.280E+09 2.513E-12 1.079E-15
64 3.000 1 1.000 21.4007 5.177E-03 2.738E+10 1.891E-13 1.066E-15
75 3.000 1 1.000 21.3737 4.330E-03 1.158E+11 3.738E-14 8.901E-16
597 3.000 1 1.000 20.9676 3.813E-03 6.672E+10 5.715E-14 7.544E-16
757 3.000 1 1.000 20.8346 3.640E-03 2.917E+12 1.248E-15 7.108E-16
291 5.000 1 1.000 21.0592 1.829E-03 6.832E+08 2.677E-12 6.081E-16
655 3.000 1 1.000 20.8979 2.907E-03 2.735E+12 1.063E-15 5.710E-16
812 3.000 1 1.000 20.8141 2.712E-03 2.578E+12 1.052E-15 5.285E-16
754 3.000 1 1.000 20.8356 2.521E-03 5.327E+12 4.732E-16 4.922E-16
62 3.000 1 1.000 21.4047 2.349E-03 1.029E+11 2.283E-14 4.842E-16
236 3.000 1 1.000 21.0678 2.147E-03 1.132E+10 1.896E-13 4.287E-16
855 5.000 1 1.000 20.8129 1.272E-03 8.952E+10 1.421E-14 4.131E-16
1017 3.000 1 1.000 20.7802 1.989E-03 4.249E+12 4.680E-16 3.862E-16
149 3.000 1 1.000 21.1724 1.713E-03 1.561E+10 1.098E-13 3.454E-16
1133 3.000 1 1.000 20.7433 1.765E-03 3.952E+12 4.467E-16 3.417E-16
434 3.000 1 1.000 21.0048 1.456E-03 8.829E+10 1.649E-14 2.890E-16
273 3.000 1 1.000 21.0603 1.376E-03 4.752E+10 2.895E-14 2.745E-16
633 3.000 1 1.000 20.9360 1.171E-03 8.039E+10 1.456E-14 2.308E-16
48 3.000 1 1.000 21.4933 1.094E-03 8.461E+12 1.293E-16 2.272E-16
1153 3.000 1 1.000 20.6685 9.203E-04 9.100E+12 1.011E-16 1.768E-16
1078 3.000 1 1.000 20.7481 8.990E-04 1.421E+12 6.328E-16 1.741E-16
809 3.000 1 1.000 20.8143 6.963E-04 2.952E+12 2.359E-16 1.357E-16
1177 3.000 1 1.000 20.6264 5.713E-04 5.798E+12 9.853E-17 1.093E-16
919 3.000 1 1.000 20.7835 4.717E-04 2.440E+12 1.933E-16 9.162E-17
170 5.000 1 1.000 21.1616 2.728E-04 1.279E+09 2.133E-13 9.155E-17
1019 3.000 1 1.000 20.7800 4.390E-04 5.925E+11 7.410E-16 8.525E-17
960 3.000 1 1.000 20.7816 2.629E-04 1.949E+12 1.349E-16 5.106E-17
545 5.000 1 1.000 20.9739 1.305E-04 8.449E+07 1.545E-12 4.303E-17
333 3.000 1 1.000 21.0175 1.931E-04 1.392E+11 1.387E-15 3.837E-17
606 3.000 1 1.000 20.9642 1.690E-04 4.535E+10 3.726E-15 3.340E-17
907 5.000 1 1.000 20.7871 9.864E-05 1.050E+12 9.393E-17 3.195E-17
249 5.000 1 1.000 21.0623 6.224E-05 6.967E+08 8.933E-14 2.070E-17
540 3.000 1 1.000 20.9740 1.003E-04 5.325E+10 1.883E-15 1.984E-17
132 3.000 1 1.000 21.1957 8.690E-05 6.706E+10 1.296E-15 1.756E-17
920 3.000 1 1.000 20.7832 8.950E-05 3.123E+12 2.866E-17 1.739E-17
157 3.000 1 1.000 21.1686 7.603E-05 4.818E+10 1.578E-15 1.533E-17
226 3.000 1 1.000 21.0759 7.480E-05 2.815E+12 2.657E-17 1.494E-17
643 5.000 1 1.000 20.9256 2.726E-05 2.179E+09 1.251E-14 8.950E-18
153 3.000 1 1.000 21.1709 4.417E-05 2.001E+11 2.208E-16 8.904E-18
1141 3.000 1 1.000 20.6965 4.270E-05 9.887E+12 4.319E-18 8.225E-18
879 3.000 1 1.000 20.7998 4.003E-05 2.031E+12 1.971E-17 7.793E-18
888 3.000 1 1.000 20.7961 3.780E-05 1.786E+13 2.117E-18 7.352E-18
344 3.000 1 1.000 21.0116 3.363E-05 7.372E+09 4.562E-15 6.680E-18
817 5.000 1 1.000 20.8135 1.770E-05 1.689E+11 1.048E-16 5.748E-18
636 5.000 1 1.000 20.9291 1.646E-05 1.319E+09 1.247E-14 5.404E-18
648 3.000 1 1.000 20.9187 2.516E-05 1.282E+12 1.963E-17 4.953E-18
823 3.000 1 1.000 20.8132 2.193E-05 1.860E+12 1.179E-17 4.272E-18
1163 3.000 1 1.000 20.6428 1.843E-05 8.194E+12 2.250E-18 3.533E-18
136 3.000 1 1.000 21.1881 1.598E-05 1.002E+11 1.594E-16 3.228E-18
805 3.000 1 1.000 20.8160 1.575E-05 2.775E+12 5.677E-18 3.070E-18
1143 5.000 1 1.000 20.6915 6.978E-06 5.473E+11 1.275E-17 2.240E-18
590 3.000 1 1.000 20.9713 1.089E-05 4.012E+10 2.715E-16 2.154E-18
1185 3.000 1 1.000 20.6108 1.062E-05 4.961E+12 2.141E-18 2.030E-18
682 3.000 1 1.000 20.8703 8.580E-06 5.968E+12 1.438E-18 1.681E-18
468 3.000 1 1.000 20.9781 6.420E-06 7.138E+09 8.994E-16 1.270E-18
1008 3.000 1 1.000 20.7812 6.097E-06 1.154E+10 5.283E-16 1.184E-18
349 3.000 1 1.000 21.0104 4.980E-06 1.738E+10 2.866E-16 9.890E-19
744 3.000 1 1.000 20.8425 2.337E-06 1.549E+12 1.509E-18 4.567E-19
1165 5.000 1 1.000 20.6399 1.060E-06 1.580E+12 6.709E-19 3.385E-19
541 3.000 1 1.000 20.9740 7.787E-07 7.392E+08 1.053E-15 1.541E-19
706 3.000 1 1.000 20.8654 7.190E-07 2.620E+12 2.744E-19 1.408E-19
1187 5.000 1 1.000 20.6089 3.560E-07 1.014E+12 3.512E-19 1.134E-19
408 5.000 1 1.000 21.0060 2.832E-07 1.338E+08 2.116E-15 9.368E-20
863 5.000 1 1.000 20.8127 2.168E-07 1.159E+09 1.871E-16 7.040E-20
404 3.000 1 1.000 21.0061 2.071E-07 2.035E+08 1.018E-15 4.110E-20
279 3.000 1 1.000 21.0597 1.083E-07 3.493E+08 3.101E-16 2.161E-20
869 3.000 1 1.000 20.8126 7.633E-08 1.569E+10 4.866E-18 1.487E-20
726 3.000 1 1.000 20.8648 9.130E-09 1.879E+10 4.859E-19 1.787E-21
