j g(j) i g(i) wl A A^a A/A^a f
372 8.000 1 4.000 12.9843 7.585E-04 1.290E+08 5.878E-12 3.835E-17
1211 8.000 1 4.000 12.8257 7.732E-04 3.806E+10 2.032E-14 3.815E-17
715 8.000 1 4.000 12.8823 7.060E-04 7.156E+09 9.866E-14 3.512E-17
401 8.000 1 4.000 12.9835 6.800E-04 6.592E+03 1.032E-07 3.437E-17
400 6.000 1 4.000 12.9835 8.468E-04 6.327E+03 1.338E-07 3.210E-17
1352 8.000 1 4.000 12.8045 6.490E-04 2.860E+10 2.269E-14 3.190E-17
1404 8.000 1 4.000 12.7940 5.190E-04 1.234E+12 4.207E-16 2.548E-17
407 8.000 1 4.000 12.9835 3.929E-04 7.100E+04 5.533E-09 1.986E-17
1494 4.000 1 4.000 12.7523 8.013E-04 4.383E+11 1.828E-15 1.954E-17
1430 6.000 1 4.000 12.7873 5.170E-04 1.066E+11 4.851E-15 1.901E-17
588 4.000 1 4.000 12.9178 7.495E-04 4.400E+08 1.703E-12 1.875E-17
1350 6.000 1 4.000 12.8045 4.838E-04 2.207E+10 2.192E-14 1.784E-17
1349 4.000 1 4.000 12.8045 6.473E-04 2.079E+10 3.113E-14 1.591E-17
399 4.000 1 4.000 12.9835 4.850E-04 6.121E+03 7.923E-08 1.226E-17
717 8.000 1 4.000 12.8823 2.434E-04 1.273E+09 1.912E-13 1.211E-17
732 8.000 1 4.000 12.8822 2.309E-04 1.612E+08 1.432E-12 1.149E-17
1109 8.000 1 4.000 12.8432 2.002E-04 1.203E+08 1.665E-12 9.905E-18
834 8.000 1 4.000 12.8675 1.659E-04 1.348E+12 1.231E-16 8.237E-18
1416 8.000 1 4.000 12.7885 1.531E-04 4.986E+12 3.071E-17 7.507E-18
1207 4.000 1 4.000 12.8257 2.333E-04 2.777E+10 8.399E-15 5.753E-18
408 6.000 1 4.000 12.9835 1.462E-04 7.051E+04 2.073E-09 5.540E-18
382 8.000 1 4.000 12.9842 7.946E-05 2.621E+08 3.032E-13 4.017E-18
234 8.000 1 4.000 13.0418 6.700E-05 7.284E+04 9.198E-10 3.418E-18
744 8.000 1 4.000 12.8822 5.469E-05 5.914E+07 9.247E-13 2.722E-18
1502 8.000 1 4.000 12.7523 5.400E-05 9.733E+10 5.548E-16 2.633E-18
1534 8.000 1 4.000 12.7313 4.760E-05 6.685E+10 7.121E-16 2.314E-18
235 6.000 1 4.000 13.0418 3.852E-05 7.305E+04 5.273E-10 1.473E-18
1434 8.000 1 4.000 12.7873 2.852E-05 8.942E+10 3.190E-16 1.399E-18
357 8.000 1 4.000 12.9845 2.545E-05 4.003E+08 6.358E-14 1.286E-18
227 6.000 1 4.000 13.0418 3.338E-05 7.021E+03 4.755E-09 1.277E-18
409 6.000 1 4.000 12.9835 2.358E-05 2.996E+00 7.871E-06 8.943E-19
228 8.000 1 4.000 13.0418 1.416E-05 8.019E+03 1.766E-09 7.225E-19
226 4.000 1 4.000 13.0418 2.753E-05 6.328E+03 4.350E-09 7.023E-19
359 8.000 1 4.000 12.9844 1.244E-05 1.271E+09 9.785E-15 6.290E-19
766 8.000 1 4.000 12.8821 1.230E-05 7.992E+07 1.540E-13 6.122E-19
471 8.000 1 4.000 12.9402 1.210E-05 1.418E+12 8.539E-18 6.078E-19
1215 6.000 1 4.000 12.8257 1.352E-05 1.621E+09 8.341E-15 5.003E-19
1037 8.000 1 4.000 12.8605 8.048E-06 3.209E+10 2.507E-16 3.990E-19
679 8.000 1 4.000 12.8909 7.984E-06 4.810E+07 1.660E-13 3.978E-19
453 8.000 1 4.000 12.9570 7.459E-06 5.182E+09 1.439E-15 3.755E-19
1342 8.000 1 4.000 12.8045 7.256E-06 5.895E+10 1.231E-16 3.567E-19
1499 6.000 1 4.000 12.7523 8.517E-06 9.691E+10 8.789E-17 3.115E-19
1532 6.000 1 4.000 12.7313 7.710E-06 6.565E+10 1.174E-16 2.810E-19
917 6.000 1 4.000 12.8611 7.310E-06 1.433E+10 5.101E-16 2.720E-19
577 8.000 1 4.000 12.9179 5.087E-06 1.900E+10 2.678E-16 2.545E-19
1018 6.000 1 4.000 12.8606 6.812E-06 9.479E+08 7.187E-15 2.535E-19
