j g(j) i g(i) wl A A^a A/A^a f
474 4.000 1 4.000 21.7565 4.132E-03 7.071E+11 5.844E-15 2.933E-16
554 8.000 1 4.000 21.7442 1.949E-03 2.612E+11 7.461E-15 2.763E-16
1208 4.000 1 4.000 21.6111 3.940E-03 3.442E+12 1.145E-15 2.759E-16
203 2.000 1 4.000 21.9660 7.386E-03 3.911E+08 1.888E-11 2.672E-16
690 6.000 1 4.000 21.7305 2.493E-03 5.459E+08 4.567E-12 2.648E-16
688 6.000 1 4.000 21.7305 2.355E-03 2.197E+07 1.072E-10 2.500E-16
280 4.000 1 4.000 21.9071 3.420E-03 9.664E+11 3.539E-15 2.461E-16
975 4.000 1 4.000 21.6712 3.435E-03 6.163E+08 5.573E-12 2.418E-16
340 2.000 1 4.000 21.8066 6.275E-03 1.189E+12 5.279E-15 2.237E-16
540 4.000 1 4.000 21.7558 3.032E-03 4.531E+11 6.691E-15 2.151E-16
621 6.000 1 4.000 21.7307 2.003E-03 5.375E+09 3.727E-13 2.127E-16
1196 8.000 1 4.000 21.6129 1.517E-03 2.420E+12 6.272E-16 2.125E-16
429 4.000 1 4.000 21.7701 2.881E-03 4.996E+12 5.766E-16 2.047E-16
125 4.000 1 4.000 22.0066 2.658E-03 2.921E+06 9.098E-10 1.930E-16
543 2.000 1 4.000 21.7519 5.282E-03 3.407E+11 1.550E-14 1.874E-16
1380 6.000 1 4.000 21.5830 1.708E-03 6.872E+11 2.486E-15 1.791E-16
874 4.000 1 4.000 21.7117 2.389E-03 1.154E+09 2.069E-12 1.688E-16
1226 8.000 1 4.000 21.6107 1.174E-03 2.361E+08 4.969E-12 1.643E-16
519 2.000 1 4.000 21.7559 4.572E-03 9.760E+11 4.684E-15 1.622E-16
687 8.000 1 4.000 21.7305 1.107E-03 1.498E+07 7.391E-11 1.568E-16
1022 2.000 1 4.000 21.6588 4.203E-03 1.932E+12 2.175E-15 1.478E-16
475 2.000 1 4.000 21.7565 3.675E-03 8.454E+11 4.347E-15 1.304E-16
918 6.000 1 4.000 21.6866 1.222E-03 1.597E+11 7.651E-15 1.292E-16
491 8.000 1 4.000 21.7560 9.081E-04 2.310E+06 3.931E-10 1.289E-16
1228 6.000 1 4.000 21.6107 1.148E-03 1.524E+08 7.532E-12 1.205E-16
100 6.000 1 4.000 22.0324 1.002E-03 4.713E+12 2.126E-16 1.094E-16
1340 8.000 1 4.000 21.5870 7.756E-04 1.486E+12 5.219E-16 1.084E-16
1393 6.000 1 4.000 21.5713 1.006E-03 2.533E+12 3.969E-16 1.052E-16
1392 8.000 1 4.000 21.5713 6.988E-04 1.314E+12 5.317E-16 9.750E-17
1398 2.000 1 4.000 21.5710 2.717E-03 7.443E+11 3.650E-15 9.477E-17
1100 2.000 1 4.000 21.6339 2.450E-03 4.815E+12 5.090E-16 8.597E-17
702 6.000 1 4.000 21.7268 8.088E-04 8.814E+11 9.177E-16 8.588E-17
269 2.000 1 4.000 21.9117 2.354E-03 2.303E+12 1.022E-15 8.471E-17
541 6.000 1 4.000 21.7556 7.677E-04 6.924E+11 1.109E-15 8.173E-17
640 8.000 1 4.000 21.7306 5.715E-04 5.352E+09 1.068E-13 8.093E-17
601 4.000 1 4.000 21.7309 1.111E-03 1.641E+10 6.769E-14 7.865E-17
1391 8.000 1 4.000 21.5715 5.296E-04 9.656E+11 5.485E-16 7.390E-17
692 4.000 1 4.000 21.7305 1.042E-03 8.669E+08 1.201E-12 7.375E-17
1381 4.000 1 4.000 21.5830 1.037E-03 1.069E+12 9.697E-16 7.240E-17
965 4.000 1 4.000 21.6785 1.018E-03 2.068E+12 4.922E-16 7.173E-17
1204 2.000 1 4.000 21.6118 2.026E-03 1.637E+12 1.237E-15 7.093E-17
1101 4.000 1 4.000 21.6338 9.662E-04 9.248E+12 1.045E-16 6.779E-17
503 8.000 1 4.000 21.7560 4.536E-04 1.565E+07 2.899E-11 6.437E-17
1119 2.000 1 4.000 21.6222 1.613E-03 6.615E+12 2.439E-16 5.655E-17
446 2.000 1 4.000 21.7616 1.527E-03 7.742E+10 1.972E-14 5.420E-17
1375 8.000 1 4.000 21.5857 3.752E-04 1.686E+08 2.225E-12 5.243E-17
711 8.000 1 4.000 21.7235 3.601E-04 2.725E+11 1.321E-15 5.095E-17
1227 4.000 1 4.000 21.6107 7.273E-04 2.199E+08 3.307E-12 5.093E-17
1120 4.000 1 4.000 21.6222 7.150E-04 6.537E+12 1.094E-16 5.011E-17
1239 6.000 1 4.000 21.6061 4.534E-04 1.191E+12 3.808E-16 4.761E-17
875 6.000 1 4.000 21.7117 4.475E-04 8.064E+08 5.549E-13 4.743E-17
966 6.000 1 4.000 21.6784 4.452E-04 1.386E+12 3.213E-16 4.707E-17
685 8.000 1 4.000 21.7305 3.257E-04 2.183E+07 1.492E-11 4.612E-17
493 6.000 1 4.000 21.7560 4.127E-04 7.091E+10 5.819E-15 4.394E-17
1299 4.000 1 4.000 21.5998 6.098E-04 3.853E+11 1.583E-15 4.266E-17
428 2.000 1 4.000 21.7702 1.079E-03 5.944E+12 1.815E-16 3.835E-17
964 2.000 1 4.000 21.6786 1.072E-03 2.557E+12 4.191E-16 3.777E-17
1407 6.000 1 4.000 21.5706 3.533E-04 1.449E+07 2.439E-11 3.698E-17
1098 4.000 1 4.000 21.6359 4.989E-04 4.459E+12 1.119E-16 3.501E-17
1377 6.000 1 4.000 21.5857 3.217E-04 1.428E+08 2.252E-12 3.370E-17
701 4.000 1 4.000 21.7269 4.581E-04 5.769E+11 7.940E-16 3.242E-17
1225 6.000 1 4.000 21.6107 2.945E-04 2.672E+08 1.102E-12 3.093E-17
486 8.000 1 4.000 21.7560 1.859E-04 7.579E+06 2.452E-11 2.638E-17
664 8.000 1 4.000 21.7305 1.791E-04 5.621E+09 3.187E-14 2.537E-17
473 2.000 1 4.000 21.7574 7.127E-04 6.421E+11 1.110E-15 2.529E-17
1434 8.000 1 4.000 21.5706 1.496E-04 1.362E+08 1.099E-12 2.088E-17
630 8.000 1 4.000 21.7306 1.471E-04 3.577E+09 4.113E-14 2.083E-17
88 8.000 1 4.000 22.0456 1.415E-04 7.003E+12 2.021E-17 2.062E-17
1198 4.000 1 4.000 21.6125 2.934E-04 2.621E+12 1.119E-16 2.056E-17
1347 2.000 1 4.000 21.5863 5.550E-04 9.426E+11 5.888E-16 1.938E-17
1240 4.000 1 4.000 21.6061 2.768E-04 1.878E+12 1.474E-16 1.937E-17
1451 6.000 1 4.000 21.5421 1.722E-04 3.168E+11 5.435E-16 1.798E-17
1456 2.000 1 4.000 21.5332 4.859E-04 6.637E+12 7.320E-17 1.689E-17
1455 4.000 1 4.000 21.5332 2.342E-04 5.815E+12 4.027E-17 1.628E-17
532 8.000 1 4.000 21.7559 1.067E-04 2.177E+07 4.900E-12 1.514E-17
313 8.000 1 4.000 21.8543 1.006E-04 1.447E+12 6.953E-17 1.441E-17
1376 4.000 1 4.000 21.5857 2.031E-04 2.159E+08 9.408E-13 1.419E-17
1288 8.000 1 4.000 21.5998 9.055E-05 2.961E+10 3.059E-15 1.267E-17
1086 6.000 1 4.000 21.6399 1.152E-04 7.526E+10 1.530E-15 1.213E-17
1436 6.000 1 4.000 21.5706 1.131E-04 1.121E+08 1.010E-12 1.184E-17
414 8.000 1 4.000 21.7804 7.929E-05 5.834E+11 1.359E-16 1.128E-17
1097 2.000 1 4.000 21.6360 3.206E-04 2.847E+12 1.126E-16 1.125E-17
1099 6.000 1 4.000 21.6358 9.955E-05 7.205E+12 1.382E-17 1.048E-17
