j g(j) i g(i) wl A A^a A/A^a f
22 6.000 1 2.000 25.9171 1.678E+07 2.418E+11 6.941E-05 5.070E-06
23 4.000 1 2.000 25.9170 1.680E+07 2.425E+11 6.925E-05 3.383E-06
40 6.000 1 2.000 25.0446 9.037E+06 7.306E+10 1.237E-04 2.549E-06
41 4.000 1 2.000 25.0445 9.045E+06 7.282E+10 1.242E-04 1.701E-06
4 4.000 1 2.000 30.0076 5.711E+06 1.515E+08 3.770E-02 1.542E-06
28 6.000 1 2.000 25.5838 4.338E+06 1.076E+12 4.033E-06 1.277E-06
70 6.000 1 2.000 24.6597 4.288E+06 1.563E+10 2.744E-04 1.173E-06
53 6.000 1 2.000 24.7161 4.000E+06 6.334E+11 6.315E-06 1.099E-06
124 6.000 1 2.000 24.3388 3.972E+06 1.897E+11 2.094E-05 1.058E-06
91 6.000 1 2.000 24.4574 3.620E+06 2.803E+10 1.292E-04 9.740E-07
14 4.000 1 2.000 26.0926 4.389E+06 1.553E+08 2.825E-02 8.964E-07
27 4.000 1 2.000 25.5840 4.325E+06 1.076E+12 4.020E-06 8.490E-07
71 4.000 1 2.000 24.6597 4.295E+06 1.563E+10 2.747E-04 7.830E-07
52 4.000 1 2.000 24.7161 3.990E+06 6.317E+11 6.316E-06 7.310E-07
123 4.000 1 2.000 24.3388 3.970E+06 1.911E+11 2.078E-05 7.050E-07
92 4.000 1 2.000 24.4574 3.623E+06 2.862E+10 1.266E-04 6.500E-07
32 4.000 1 2.000 25.1077 1.938E+06 2.141E+09 9.051E-04 3.664E-07
3 2.000 1 2.000 30.0089 2.266E+06 1.578E+07 1.436E-01 3.059E-07
161 6.000 1 2.000 24.1330 9.490E+05 2.091E+11 4.539E-06 2.486E-07
